Region,Season,Crop,Production (tons),Area (hectares),Yield Ratio
Sudurpashchim,Spring,Rice,6112,994,1.56
Karnali,Winter,Millet,6357,628,1.71
Karnali,Whole Year,Lentil,1468,836,1.14
Gandaki,Spring,Lentil,7387,520,2.59
Province 1,Spring,Millet,6539,80,4.31
Sudurpashchim,Summer (Monsoon),Barley,7480,671,2.87
Bagmati,Summer (Monsoon),Barley,3939,108,2.28
Lumbini,Spring,Rice,6923,356,1.65
Gandaki,Winter,Rice,1419,10,1.19
Bagmati,Spring,Mustard,5825,341,0.69
Province 1,Whole Year,Rice,9869,127,2.68
Bagmati,Summer (Monsoon),Barley,6182,78,0.83
Sudurpashchim,Whole Year,Millet,842,427,0.82
Sudurpashchim,Winter,Mustard,1738,810,1.99
Bagmati,Spring,Lentil,2224,961,1.64
Sudurpashchim,Summer (Monsoon),Mustard,4337,428,3.07
Bagmati,Spring,Lentil,5096,748,4.06
Gandaki,Spring,Potato,7032,622,0.57
Karnali,Whole Year,Barley,456,221,1.26
Madhesh,Spring,Potato,2747,236,4.58
Madhesh,Winter,Barley,8039,540,0.5
Gandaki,Whole Year,Maize,7368,798,0.96
Madhesh,Winter,Millet,4861,365,1.08
Sudurpashchim,Summer (Monsoon),Millet,1095,311,0.67
Karnali,Summer (Monsoon),Lentil,4987,633,3.18
Sudurpashchim,Summer (Monsoon),Lentil,4174,687,4.97
Karnali,Spring,Potato,1662,950,0.66
Madhesh,Summer (Monsoon),Potato,4237,413,3.48
Madhesh,Summer (Monsoon),Rice,6858,186,4.36
Province 1,Winter,Wheat,5423,862,3.91
Madhesh,Summer (Monsoon),Barley,1252,52,3.78
Sudurpashchim,Spring,Wheat,942,433,4.14
Province 1,Whole Year,Millet,9638,708,3.96
Bagmati,Whole Year,Mustard,1321,372,1.17
Lumbini,Winter,Lentil,7321,163,4.37
Gandaki,Summer (Monsoon),Maize,339,556,3.26
Sudurpashchim,Winter,Lentil,2926,511,2.74
Karnali,Summer (Monsoon),Rice,4966,44,1.11
Bagmati,Whole Year,Mustard,1766,27,2.08
Sudurpashchim,Whole Year,Rice,1467,997,1.05
Bagmati,Winter,Potato,4613,84,4.02
Madhesh,Winter,Rice,2869,461,3.08
Province 1,Whole Year,Mustard,1083,598,2.9
Bagmati,Spring,Millet,1498,158,3.26
Madhesh,Whole Year,Wheat,4139,109,2.76
Bagmati,Whole Year,Lentil,144,965,1.13
Province 1,Winter,Millet,4638,675,2.93
Karnali,Winter,Barley,3254,225,1.75
Bagmati,Summer (Monsoon),Millet,5289,70,3.56
Province 1,Whole Year,Potato,525,772,0.76
Madhesh,Whole Year,Barley,876,860,1.38
Gandaki,Winter,Lentil,5929,120,2.44
Lumbini,Summer (Monsoon),Barley,9477,11,3.44
Karnali,Whole Year,Lentil,1375,806,4.19
Karnali,Spring,Barley,8052,633,4.72
Bagmati,Summer (Monsoon),Maize,108,720,4.99
Lumbini,Summer (Monsoon),Potato,408,920,1.0
Bagmati,Summer (Monsoon),Lentil,6765,330,3.15
Province 1,Summer (Monsoon),Millet,837,592,0.63
Bagmati,Spring,Millet,3817,602,2.7
Province 1,Winter,Lentil,2672,577,0.58
Lumbini,Summer (Monsoon),Barley,3952,277,0.98
Karnali,Whole Year,Maize,919,749,3.47
Gandaki,Whole Year,Wheat,5697,246,3.6
Lumbini,Whole Year,Potato,6853,31,3.77
Lumbini,Whole Year,Millet,7034,964,1.47
Karnali,Whole Year,Maize,2516,472,4.93
Province 1,Winter,Potato,2021,982,3.17
Bagmati,Whole Year,Lentil,1238,132,0.56
Karnali,Winter,Lentil,5680,614,4.26
Gandaki,Winter,Potato,4099,413,1.92
